forest,plot,species,diam_m,height_m,notes
Second,1,Douglas_Fir,0.6557377049,45,
Second,1,Cedar,0.3055865033,42.5,
Second,1,Hemlock,0.4297310202,45,
Second,1,Alder,0.009549578227,2.5,
Second,2,Hemlock,0.5570587299,40,
Second,3,Cedar,0.5443259589,40,
Second,4,Douglas_Fir,0.6684704759,42.5,
Second,4,Hemlock,0.3947159,40,
Second,4,Douglas_Fir,0.9867897501,6.25,
Second,5,Hemlock,0.4615629476,42.5,
Second,5,Hemlock,0.4933948751,42.5,
Second,5,Hemlock,0.2578386121,37.5,
Second,5,Cedar,0.1432436734,7.5,same roots as cedar bove
Second,5,Hemlock,0.3978990928,42.5,
Replant,1,Alder,0.01,1.52,
Replant,1,Alder,0.005,2.2,
Replant,1,Alder,0.01,1.49,
Replant,1,Alder,0.005,2.09,
Replant,1,Alder,0.01,2.8,
Replant,1,Alder,0.005,1.65,
Replant,1,Alder,0.015,3.15,
Replant,1,Alder,0.02,3.2,
Replant,1,Alder,0.01,1.5,
Replant,1,Douglas_Fir,0.03,2.2,
Replant,1,Douglas_Fir,0.06,4.14,
Replant,1,Douglas_Fir,0.05,3.3,
Replant,1,Douglas_Fir,0.045,3.5,
Replant,2,Alder,0.01,1.3,
Replant,2,Alder,0.015,1.7,
Replant,2,Alder,0.015,2.2,
Replant,2,Alder,0.02,2.4,
Replant,2,Alder,0.01,1.3,
Replant,2,Alder,0.015,2,
Replant,2,Alder,0.02,2.5,
Replant,2,Alder,0.01,1.3,
Replant,2,Alder,0.02,1.7,
Replant,2,Alder,0.05,2.3,
Replant,2,Alder,0.01,1.5,
Replant,2,Cedar,0.01,1.35,
Replant,2,Douglas_Fir,0.025,1.6,
Replant,2,Hemlock,0.04,3.96,
Replant,2,Hemlock,0.04,3.7,
Replant,2,Hemlock,0.04,3.5,
Replant,3,Alder,0.04,3.8,
Replant,3,Alder,0.04,3.7,
Replant,3,Alder,0.01,1.5,
Replant,3,Alder,0.03,3.8,
Replant,3,Alder,0.05,4,
Replant,3,Cedar,0.03,3.6,
Replant,3,Hemlock,0.06,3.4,
Replant,3,Hemlock,0.05,3.8,
Replant,3,Douglas_Fir,0.03,1.86,
Replant,3,Douglas_Fir,0.03,1.9,
Replant,3,Douglas_Fir,0.02,1.38,
Replant,3,Douglas_Fir,0.06,4.35,
Replant,4,Alder,0.035,3.1,
Replant,4,Alder,0.03,2.5,
Replant,4,Alder,0.01,2.2,
Replant,4,Alder,0.02,2.8,
Replant,4,Douglas_Fir,0.12,5.2,
Replant,4,Douglas_Fir,0.1,6.1,
Replant,4,Douglas_Fir,0.07,4.5,
Replant,4,Douglas_Fir,0.04,3.5,
Replant,5,Balsam_Poplar,0.01,1.63,
Replant,5,Alder,0.03,2.75,
Replant,5,Alder,0.05,2.9,
Replant,5,Alder,0.03,2.5,
Replant,5,Alder,0.03,3.05,
Replant,5,Alder,0.035,3.15,
Replant,5,Alder,0.04,3.4,
Replant,5,Alder,0.02,3.07,
Replant,5,Alder,0.015,2.9,
Replant,5,Alder,0.02,3.17,
Replant,5,Douglas_Fir,0.8,35,
Replant,5,Douglas_Fir,0.03,2.07,
Old,1,Hemlock,0.63,32,
Old,1,Hemlock,0.41,30,
Old,1,Cedar,1.50,32,
Old,1,Hemlock,0.62,30,
Old,2,Hemlock,0.40,25,
Old,2,Hemlock,0.97,28,
Old,2,Cedar,1.94,29,
Old,3,Hemlock,0.41,18,
Old,3,unknown,0.15,8,
Old,3,Hemlock,0.17,12,
Old,4,Hemlock,0.09,5.4,on a log
Old,4,Hemlock,0.04,4.3,on a log
Old,5,Cedar,2.01,35,